frame,k,outRe_hex,outIm_hex
68,12,407B,C000
68,13,5C95,1033
68,14,402A,7FAF
68,15,4D1A,9F2A
69,0,C05B,0000
69,1,1E6C,A752
69,2,51EC,2E6F
69,3,2769,A8A7
69,4,805B,C000
69,5,CEC5,B32F
69,6,AECA,2E6F
69,7,ECD2,B1DA
69,8,405B,0000
69,9,ECD2,4E26
69,10,AECA,D191
69,11,CEC5,4CD1
69,12,805B,4000
69,13,2769,5759
69,14,51EC,D191
69,15,1E6C,58AE
70,0,FFD3,0000
70,1,A0DF,B071
70,2,4252,7D81
70,3,4048,A444
70,4,BFD3,4000
70,5,3BD4,27CE
70,6,BD54,FD81
70,7,E251,33FB
70,8,7FD3,0000
70,9,E251,CC05
70,10,BD54,027F
70,11,3BD4,D832
70,12,BFD3,C000
70,13,4048,5BBC
70,14,4252,827F
70,15,A0DF,4F8F
71,0,FFFA,0000
71,1,9F70,F41F
71,2,F1C5,4E35
71,3,4EED,9428
71,4,3FFA,4000
71,5,7A8F,4AA0
71,6,8E2F,4E35
71,7,96FC,AA97
71,8,7FFA,0000
71,9,96FC,5569
71,10,8E2F,B1CB
71,11,7A8F,B560
71,12,3FFA,C000
71,13,4EED,6BD8
71,14,F1C5,B1CB
71,15,9F70,0BE1
72,0,402C,0000
72,1,5FB4,412B
72,2,93A5,6C87
72,3,E973,FF94
72,4,802C,C000
72,5,CBA3,CAD6
72,6,ECB3,EC87
72,7,EBE6,0C6D
72,8,C02C,0000
72,9,EBE6,F393
72,10,ECB3,1379
72,11,CBA3,352A
72,12,802C,4000
72,13,E973,006C
72,14,93A5,9379
72,15,5FB4,BED5
73,0,C025,0000
73,1,A01D,057F
73,2,9E9A,618B
73,3,69D0,6D1C
73,4,0025,C000
73,5,9F48,E44E
73,6,E1B0,E18B
73,7,575F,7CB1
73,8,4025,0000
73,9,575F,834F
73,10,E1B0,1E75
73,11,9F48,1BB2
73,12,0025,4000
73,13,69D0,92E4
73,14,9E9A,9E75
73,15,A01D,FA81
74,0,BFCE,0000
74,1,FBA0,9826
74,2,076E,B860
74,3,F974,4652
74,4,BFCE,0000
74,5,B7E8,1492
74,6,782E,B860
74,7,523C,6666
74,8,BFCE,0000
74,9,523C,999A
