frame,k,outRe_hex,outIm_hex
71,11,FFEB,FFF7
71,12,0000,FFEC
71,13,0019,0015
71,14,00A3,FE23
71,15,F782,02AA
72,0,0BC7,0000
72,1,F92E,FD63
72,2,01A8,FFB3
72,3,FFFE,0001
72,4,0017,FFEA
72,5,0028,FFE9
72,6,002E,FFEB
72,7,0024,FFF7
72,8,002F,0000
72,9,0024,0009
72,10,002E,0015
72,11,0028,0017
72,12,0017,0016
72,13,FFFE,FFFF
72,14,01A8,004D
72,15,F92E,029D
73,0,EFCC,0000
73,1,09BA,F734
73,2,FE66,01F8
73,3,0003,FFE6
73,4,0026,FFBC
73,5,0041,FFD0
73,6,0048,FFDE
73,7,004A,FFEA
73,8,004C,0000
73,9,004A,0016
73,10,0048,0022
73,11,0041,0030
73,12,0026,0044
73,13,0003,001A
73,14,FE66,FE08
73,15,09BA,08CC
74,0,D552,0000
74,1,1581,02EA
